un_no,psn,haz_class,sub_class,pg,nos,symbols
NA1760,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",8,,II,N,D G
NA1760,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",8,,III,N,D G
NA1993,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",3,,I,N,D G
NA1993,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",3,,II,N,D G
NA1993,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",3,,III,N,D G
NA2810,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",6.1,,I,N,D G
NA2810,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",6.1,,II,N,D G
NA2810,"Compounds, tree killing, liquid or Compounds, weed killing, liquid",6.1,,III,N,D G
UN1954,"Compressed gas, flammable, n.o.s.",2.1,,,Y,G
UN1956,"Compressed gas, n.o.s",2.2,,,Y,G
UN3156,"Compressed gas, oxidizing, n.o.s.",2.2,5.1,,Y,G
UN3304,"Compressed gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,8,,Y,G I
UN3304,"Compressed gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,8,,Y,G I
UN3304,"Compressed gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,8,,Y,G I
UN3304,"Compressed gas, toxic, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,8,,Y,G I
UN3305,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,"2.1,8",,Y,G I
UN3305,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,"2.1,8",,Y,G I
UN3305,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,"2.1,8",,Y,G I
UN3305,"Compressed gas, toxic, flammable, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,"2.1,8",,Y,G I
UN1953,"Compressed gas, toxic, flammable, n.o.s. Inhalation hazard Zone A",2.3,2.1,,Y,G
UN1953,"Compressed gas, toxic, flammable, n.o.s. Inhalation hazard Zone B",2.3,2.1,,Y,G
UN1953,"Compressed gas, toxic, flammable, n.o.s. Inhalation Hazard Zone C",2.3,2.1,,Y,G
UN1953,"Compressed gas, toxic, flammable, n.o.s. Inhalation Hazard Zone D",2.3,2.1,,Y,G
UN1955,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone A",2.3,,,Y,G
UN1955,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone B",2.3,,,Y,G
UN1955,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone C",2.3,,,Y,G
UN1955,"Compressed gas, toxic, n.o.s. Inhalation Hazard Zone D",2.3,,,Y,G
UN3306,"Compressed gas, toxic, oxdizing, corrosive, n.o.s. Inhalation Hazard Zone A",2.3,"5.1,8",,Y,G I
UN3306,"Compressed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone B",2.3,"5.1,8",,Y,G I
UN3306,"Compressed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone C",2.3,"5.1,8",,Y,G I
UN3306,"Compressed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation Hazard Zone D",2.3,"5.1,8",,Y,G I
UN3303,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone A",2.3,5.1,,Y,G
UN3303,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone B",2.3,5.1,,Y,G
UN3303,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone C",2.3,5.1,,Y,G
UN3303,"Compressed gas, toxic, oxidizing, n.o.s. Inhalation Hazard Zone D",2.3,5.1,,Y,G
UN0248,"Contrivances, water-activated, with burster, expelling charge or propelling charge",1.2L,,,N,G
UN0249,"Contrivances, water-activated, with burster, expelling charge or propelling charge",1.3L,,,N,G
UN1585,Copper acetoarsenite,6.1,,II,N,
UN1586,Copper arsenite,6.1,,II,N,
UN2776,"Copper based pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,I,N,
UN2776,"Copper based pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,II,N,
UN3010,"Copper based pesticides, liquid, toxic",6.1,,I,N,
UN3010,"Copper based pesticides, liquid, toxic",6.1,,II,N,
UN3010,"Copper based pesticides, liquid, toxic",6.1,,III,N,
UN3009,"Copper based pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,I,N,
UN3009,"Copper based pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,II,N,
UN3009,"Copper based pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,III,N,
UN2775,"Copper based pesticides, solid, toxic",6.1,,I,N,
UN2775,"Copper based pesticides, solid, toxic",6.1,,II,N,
UN2775,"Copper based pesticides, solid, toxic",6.1,,III,N,
UN2721,Copper chlorate,5.1,,II,N,
UN2802,Copper chloride,8,,III,N,
UN1587,Copper cyanide,6.1,,II,N,
UN1363,Copra,4.2,,III,N,"A,W"
UN0065,"Cord, detonating, flexible",1.1D,,,N,
UN0289,"Cord, detonating, flexible",1.4D,,,N,
UN0102,"Cord, detonating or Fuze, detonating metal clad",1.2D,,,N,
UN0290,"Cord, detonating or Fuze, detonating metal clad",1.1D,,,N,
UN0104,"Cord, detonating, mild effect or Fuse, detonating, mild effect metal clad",1.4D,,,N,
UN0066,"Cord, igniter",1.4G,,,N,
UN3264,"Corrosive liquid, acidic, inorganic, n.o.s",8,,I,Y,G
UN3264,"Corrosive liquid, acidic, inorganic, n.o.s",8,,II,Y,G
UN3264,"Corrosive liquid, acidic, inorganic, n.o.s",8,,III,Y,G
UN3265,"Corrosive liquid, acidic, organic, n.o.s",8,,I,Y,G
UN3265,"Corrosive liquid, acidic, organic, n.o.s",8,,II,Y,G
UN3265,"Corrosive liquid, acidic, organic, n.o.s",8,,III,Y,G
UN3266,"Corrosive liquid, basic, inorganic, n.o.s",8,,I,Y,G
UN3266,"Corrosive liquid, basic, inorganic, n.o.s",8,,II,Y,G
UN3266,"Corrosive liquid, basic, inorganic, n.o.s",8,,III,Y,G
UN3267,"Corrosive liquid, basic, organic, n.o.s",8,,I,Y,G
UN3267,"Corrosive liquid, basic, organic, n.o.s",8,,II,Y,G
UN3267,"Corrosive liquid, basic, organic, n.o.s",8,,III,Y,G
UN3301,"Corrosive liquid, self-heating, n.o.s",8,4.2,I,Y,G
UN3301,"Corrosive liquid, self-heating, n.o.s",8,4.2,II,Y,G
UN2920,"Corrosive liquids, flammable, n.o.s.",8,3,I,Y,G
UN2920,"Corrosive liquids, flammable, n.o.s.",8,3,II,Y,G
UN1760,"Corrosive liquids, n.o.s",8,,I,Y,G
UN1760,"Corrosive liquids, n.o.s",8,,II,Y,G
UN1760,"Corrosive liquids, n.o.s",8,,III,Y,G
UN3093,"Corrosive liquids, oxidizing, n.o.s.",8,5.1,I,Y,G
UN3093,"Corrosive liquids, oxidizing, n.o.s.",8,5.1,II,Y,G
UN2922,"Corrosive liquids, toxic, n.o.s.",8,6.1,I,Y,G
UN2922,"Corrosive liquids, toxic, n.o.s.",8,6.1,II,Y,G
UN2922,"Corrosive liquids, toxic, n.o.s.",8,6.1,III,Y,G
UN3094,"Corrosive liquids, water-reactive, n.o.s",8,4.3,I,Y,G
UN3094,"Corrosive liquids, water-reactive, n.o.s",8,4.3,II,Y,G
UN3260,"Corrosive solid, acidic, inorganic, n.o.s",8,,I,Y,G
UN3260,"Corrosive solid, acidic, inorganic, n.o.s",8,,II,Y,G
UN3260,"Corrosive solid, acidic, inorganic, n.o.s",8,,III,Y,G
UN3261,"Corrosive solid, acidic, organic, n.o.s",8,,I,Y,G
UN3261,"Corrosive solid, acidic, organic, n.o.s",8,,II,Y,G
UN3261,"Corrosive solid, acidic, organic, n.o.s",8,,III,Y,G
UN3262,"Corrosive solid, basic, inorganic, n.o.s.",8,,I,Y,G
UN3262,"Corrosive solid, basic, inorganic, n.o.s.",8,,II,Y,G
UN3262,"Corrosive solid, basic, inorganic, n.o.s.",8,,III,Y,G
UN3263,"Corrosive solid, basic, organic, n.o.s.",8,,I,Y,G
UN3263,"Corrosive solid, basic, organic, n.o.s.",8,,II,Y,G
UN3263,"Corrosive solid, basic, organic, n.o.s.",8,,III,Y,G
UN2921,"Corrosive solids, flammable, n.o.s.",8,4.1,I,Y,G
UN2921,"Corrosive solids, flammable, n.o.s.",8,4.1,II,Y,G
UN1759,"Corrosive solids, n.o.s.",8,,I,Y,G
UN1759,"Corrosive solids, n.o.s.",8,,II,Y,G
UN1759,"Corrosive solids, n.o.s.",8,,III,Y,G
UN3084,"Corrosive solids, oxidizing, n.o.s.",8,5.1,I,Y,G
UN3084,"Corrosive solids, oxidizing, n.o.s.",8,5.1,II,Y,G
UN3095,"Corrosive solids, self-heating, n.o.s",8,4.2,I,Y,G
UN3095,"Corrosive solids, self-heating, n.o.s",8,4.2,II,Y,G
UN2923,"Corrosive solids, toxic, n.o.s.",8,6.1,I,Y,G
UN2923,"Corrosive solids, toxic, n.o.s.",8,6.1,II,Y,G
UN2923,"Corrosive solids, toxic, n.o.s.",8,6.1,III,Y,G
UN3096,"Corrosive solids, water-reactive, n.o.s",8,4.3,I,Y,G
UN3096,"Corrosive solids, water-reactive, n.o.s",8,4.3,II,Y,G
NA1365,Cotton,9,,,N,D W
UN1364,"Cotton waste, oily",4.2,,III,N,A W
UN1365,"Cotton, wet",4.2,,III,N,A I W
UN3024,"Coumarin derivative pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,I,N,
UN3024,"Coumarin derivative pesticides, liquid, flammable, toxic, flash point less than 23 degrees C",3,6.1,II,N,
UN3026,"Coumarin derivative pesticides, liquid, toxic",6.1,,I,N,
UN3026,"Coumarin derivative pesticides, liquid, toxic",6.1,,II,N,
UN3026,"Coumarin derivative pesticides, liquid, toxic",6.1,,III,N,
UN3025,"Coumarin derivative pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,I,N,
UN3025,"Coumarin derivative pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,II,N,
UN3025,"Coumarin derivative pesticides, liquid, toxic, flammable, flash point not less than 23 degrees C",6.1,3,III,N,
UN3027,"Coumarin derivative pesticides, solid, toxic",6.1,,I,N,
UN3027,"Coumarin derivative pesticides, solid, toxic",6.1,,II,N,
UN3027,"Coumarin derivative pesticides, solid, toxic",6.1,,III,N,
UN2076,"Cresols, liquid",6.1,8,II,N,
UN3455,"Cresols, solid",6.1,8,II,N,
UN2022,Cresylic acid,6.1,8,II,N,
UN1143,"Crotonaldehyde or Crotonaldehyde, stabilized",6.1,3,I,N,
UN3472,"Crotonic acid, liquid",8,,III,N,
UN2823,"Crotonic acid, solid",8,,III,N,
UN1144,Crotonylene,3,,I,N,
UN1761,Cupriethylenediamine solution,8,6.1,II,N,
UN1761,Cupriethylenediamine solution,8,6.1,III,N,
UN0070,"Cutters, cable, explosive",1.4S,,,N,
UN1935,"Cyanide solutions, n.o.s.",6.1,,I,Y,G
UN1935,"Cyanide solutions, n.o.s.",6.1,,II,Y,G
UN1935,"Cyanide solutions, n.o.s.",6.1,,III,Y,G
UN1588,"Cyanides, inorganic, solid, n.o.s.",6.1,,I,Y,
UN1588,"Cyanides, inorganic, solid, n.o.s.",6.1,,II,Y,
UN1588,"Cyanides, inorganic, solid, n.o.s.",6.1,,III,Y,
UN1026,Cyanogen,2.3,2.1,,N,
UN1889,Cyanogen bromide,6.1,8,I,N,
UN1589,"Cyanogen chloride, stabilized",2.3,8,,N,
UN2670,Cyanuric chloride,8,,II,N,
UN2601,Cyclobutane,2.1,,,N,
UN2744,Cyclobutyl chloroformate,6.1,"8,3",II,N,
UN2518,"1,5,9-Cyclododecatriene",6.1,,III,N,
UN2241,Cycloheptane,3,,II,N,
UN2603,Cycloheptatriene,3,6.1,II,N,
UN2242,Cycloheptene,3,,II,N,
UN1145,Cyclohexane,3,,II,N,
UN1915,Cyclohexanone,3,,III,N,
UN2256,Cyclohexene,3,,II,N,
UN1762,Cyclohexenyltrichlorosilane,8,,II,N,
UN2243,Cyclohexyl acetate,3,,III,N,
UN2488,Cyclohexyl isocyanate,6.1,3,I,N,
UN3054,Cyclohexyl mercaptan,3,,III,N,
UN2357,Cyclohexylamine,8,3,II,N,
UN1763,Cyclohexyltrichlorosilane,8,,II,N,
UN2520,Cyclooctadienes,3,,III,N,
UN2358,Cyclooctatetraene,3,,II,N,
UN1146,Cyclopentane,3,,II,N,
UN2244,Cyclopentanol,3,,III,N,
UN2245,Cyclopentanone,3,,III,N,
UN2246,Cyclopentene,3,,II,N,
UN1027,Cyclopropane,2.1,,,N,
UN0484,"Cyclotetramethylenetetranitramine, desensitized or Octogen, desensitized or HMX, desensitized",1.1D,,,N,
UN0226,"Cyclotetramethylenetetranitramine, wetted or HMX, wetted or Octogen, wetted with not less than 15 percent water, by mass",1.1D,,,N,
UN0483,"Cyclotrimethylenetrinitramine, desensitized or Cyclonite, desensitized or Hexogen, desensitized or RDX, desensitized",1.1D,,,N,
UN0072,"Cyclotrimethylenetrinitramine, wetted or Cyclonite, wetted or Hexogen, wetted or RDX, wetted with not less than 15 percent water by mass",1.1D,,,N,
UN2046,Cymenes,3,,III,N,
UN3363,Dangerous goods in articles or Dangerous goods in machinery or Dangerous goods in apparatus,9,,,N,
UN1868,Decaborane,4.1,6.1,II,N,
UN1147,Decahydronaphthalene,3,,III,N,
UN2247,n-Decane,3,,III,N,
UN0132,"Deflagrating metal salts of aromatic nitroderivatives, n.o.s.",1.3C,,,Y,
NA1987,Denatured alcohol,3,,II,N,D
NA1987,Denatured alcohol,3,,III,N,D
UN3379,"Desensitized explosive, liquid, n.o.s.",3,,I,Y,G
UN3380,"Desensitized explosive, solid, n.o.s.",4.1,,I,Y,G
UN0360,"Detonator assemblies, non-electric for blasting",1.1B,,,N,
UN0361,"Detonator assemblies, non-electric, for blasting",1.4B,,,N,
UN0500,"Detonator assemblies, non-electric, for blasting",1.4S,,,N,
UN0030,"Detonators, electric, for blasting",1.1B,,,N,
UN0255,"Detonators, electric, for blasting",1.4B,,,N,
UN0456,"Detonators, electric for blasting",1.4S,,,N,
UN0511,"Detonators, electronic programmable for blasting",1.1B,,,N,
UN0512,"Detonators, electronic programmable for blasting",1.4B,,,N,
UN0513,"Detonators, electronic programmable for blasting",1.4S,,,N,
UN0073,Detonators for ammunition,1.1B,,,N,
UN0364,Detonators for ammunition,1.2B,,,N,
UN0365,Detonators for ammunition,1.4B,,,N,
UN0366,Detonators for ammunition,1.4S,,,N,
UN0029,"Detonators, non-electric, for blasting",1.1B,,,N,
UN0267,"Detonators, non-electric, for blasting",1.4B,,,N,
UN0455,"Detonators, non-electric, for blasting",1.4S,,,N,
UN1957,"Deuterium, compressed",2.1,,,N,
UN3150,"Devices, small, hydrocarbon gas powered or Hydrocarbon gas refills for small devices with release device",2.1,,,N,
UN2841,Di-n-amylamine,3,6.1,III,N,
UN2248,Di-n-butylamine,8,3,II,N,
UN2372,"1,2-Di-(dimethylamino)ethane",3,,II,N,
UN1148,Diacetone alcohol,3,,II,N,
UN1148,Diacetone alcohol,3,,III,N,
UN2359,Diallylamine,3,"6.1,8",II,N,
UN2360,Diallylether,3,6.1,II,N,
UN2651,"4,4′-Diaminodiphenyl methane",6.1,,III,N,
UN0074,"Diazodinitrophenol, wetted with not less than 40 percent water or mixture of alcohol and water, by mass",1.1A,,,N,
UN2434,Dibenzyldichlorosilane,8,,II,N,
UN1911,Diborane,2.3,2.1,,N,
NA1911,Diborane mixtures,2.1,,,N,D
UN2648,"1,2-Dibromobutan-3-one",6.1,,II,N,
UN2872,Dibromochloropropane,6.1,,II,N,
UN2872,Dibromochloropropane,6.1,,III,N,
UN1941,"Dibromodifluoromethane, R12B2",9,,III,N,A
UN2664,Dibromomethane,6.1,,III,N,
UN1149,Dibutyl ethers,3,,III,N,
UN2873,Dibutylaminoethanol,6.1,,III,N,
UN2650,"1,1-Dichloro-1-nitroethane",6.1,,II,N,
NA9264,"3,5-Dichloro-2,4,6-trifluoropyridine",6.1,,I,N,D
UN1764,Dichloroacetic acid,8,,II,N,
UN2649,"1,3-Dichloroacetone",6.1,,II,N,
UN1765,Dichloroacetyl chloride,8,,II,N,
UN1590,"Dichloroanilines, liquid",6.1,,II,N,+
UN3442,"Dichloroanilines, solid",6.1,,II,N,
UN1591,o-Dichlorobenzene,6.1,,III,N,+
UN1916,"2,2′-Dichlorodiethyl ether",6.1,3,II,N,
UN2602,Dichlorodifluoromethane and difluoroethane azeotropic mixture or Refrigerant gas R 500 with approximately 74 percent dichlorodifluoromethane,2.2,,,N,
UN1028,Dichlorodifluoromethane or Refrigerant gas R 12,2.2,,,N,
UN2249,"Dichlorodimethyl ether, symmetrical",6.1,3,I,N,
UN2362,"1,1-Dichloroethane",3,,II,N,
UN1150,"1,2-Dichloroethylene",3,,II,N,
UN1029,Dichlorofluoromethane or Refrigerant gas R21,2.2,,,N,
UN2465,"Dichloroisocyanuric acid, dry or Dichloroisocyanuric acid salts",5.1,,II,N,
UN2490,Dichloroisopropyl ether,6.1,,II,N,
UN1593,Dichloromethane,6.1,,III,N,
UN1152,Dichloropentanes,3,,III,N,
UN2250,Dichlorophenyl isocyanates,6.1,,II,N,
UN1766,Dichlorophenyltrichlorosilane,8,,II,N,
UN1279,"1,2-Dichloropropane",3,,II,N,
UN2750,"1,3-Dichloropropanol-2",6.1,,II,N,
UN2047,Dichloropropenes,3,,II,N,
UN2047,Dichloropropenes,3,,III,N,
UN2189,Dichlorosilane,2.3,"2.1,8",,N,
UN1958,"1,2-Dichloro-1,1,2,2- tetrafluoroethane or Refrigerant gas R 114",2.2,,,N,
UN2565,Dicyclohexylamine,8,,III,N,
UN2687,Dicyclohexylammonium nitrite,4.1,,III,N,
UN2048,Dicyclopentadiene,3,,III,N,
UN1465,Didymium nitrate,5.1,,III,N,
NA1993,Diesel fuel,3,,III,N,D
UN1202,Diesel fuel,3,,III,N,I
UN2373,Diethoxymethane,3,,II,N,
UN2374,"3,3-Diethoxypropene",3,,II,N,
UN2366,Diethyl carbonate,3,,III,N,
UN1155,Diethyl ether or Ethyl ether,3,,I,N,
UN1156,Diethyl ketone,3,,II,N,
UN1594,Diethyl sulfate,6.1,,II,N,
UN2375,Diethyl sulfide,3,,II,N,
UN1154,Diethylamine,3,8,II,N,
UN2686,2-Diethylaminoethanol,8,3,II,N,
UN2684,3-Diethyamino-propylamine,3,8,III,N,
UN2432,"N, N-Diethylaniline",6.1,,III,N,+
UN2049,Diethylbenzene,3,,III,N,
UN1767,Diethyldichlorosilane,8,3,II,N,
UN0075,"Diethyleneglycol dinitrate, desensitized with not less than 25 percent non-volatile water-insoluble phlegmatizer, by mass",1.1D,,,N,
UN2079,Diethylenetriamine,8,,II,N,
UN2685,"N,N-Diethylethylenediamine",8,3,II,N,
UN2751,Diethylthiophosphoryl chloride,8,,II,N,
UN1030,"1,1-Difluoroethane or Refrigerant gas R 152a",2.1,,,N,
UN1959,"1,1-Difluoroethylene or Refrigerant gas R 1132a",2.1,,,N,
UN3252,Difluoromethane or Refrigerant gas R 32,2.1,,,N,
UN1768,"Difluorophosphoric acid, anhydrous",8,,II,N,
UN2376,"2,3-Dihydropyran",3,,II,N,
UN1157,Diisobutyl ketone,3,,III,N,
UN2361,Diisobutylamine,3,8,III,N,
UN2050,"Diisobutylene, isomeric compounds",3,,II,N,
UN1902,Diisooctyl acid phosphate,8,,III,N,
UN1159,Diisopropyl ether,3,,II,N,
UN1158,Diisopropylamine,3,8,II,N,
UN2521,"Diketene, stabilized",6.1,3,I,N,
UN2252,"1,2-Dimethoxyethane",3,,II,N,
UN2377,"1,1-Dimethoxyethane",3,,II,N,
UN1161,Dimethyl carbonate,3,,II,N,
UN2381,Dimethyl disulfide,3,6.1,II,N,
UN1033,Dimethyl ether,2.1,,,N,
UN2266,Dimethyl-N-propylamine,3,8,II,N,
UN1595,Dimethyl sulfate,6.1,8,I,N,
UN1164,Dimethyl sulfide,3,,II,N,
UN2267,Dimethyl thiophosphoryl chloride,6.1,8,II,N,
UN1032,"Dimethylamine, anhydrous",2.1,,,N,
UN1160,Dimethylamine solution,3,8,II,N,
UN2378,2-Dimethylaminoacetonitrile,3,6.1,II,N,
UN2051,2-Dimethylaminoethanol,8,3,II,N,
UN3302,"2-Dimethylaminoethyl acrylate, stabilized",6.1,,II,N,
UN2522,"2-Dimethylaminoethyl methacrylate, stabilized",6.1,,II,N,
UN2253,"N,N-Dimethylaniline",6.1,,II,N,
UN2457,"2,3-Dimethylbutane",3,,II,N,
UN2379,"1, 3-Dimethylbutylamine",3,8,II,N,
UN2262,Dimethylcarbamoyl chloride,8,,II,N,
UN2263,Dimethylcyclohexanes,3,,II,N,
UN2264,"N,N-Dimethylcyclohexylamine",8,3,II,N,
UN1162,Dimethyldichlorosilane,3,8,II,N,
UN2380,Dimethyldiethoxysilane,3,,II,N,
UN2707,Dimethyldioxanes,3,,II,N,
UN2707,Dimethyldioxanes,3,,III,N,
UN2265,"N,N-Dimethylformamide",3,,III,N,
UN2382,"Dimethylhydrazine, symmetrical",6.1,3,I,N,
UN1163,"Dimethylhydrazine, unsymmetrical",6.1,"3,8",I,N,
UN2044,"2,2-Dimethylpropane",2.1,,,N,
UN1598,Dinitro-o-cresol,6.1,,II,N,
UN1596,Dinitroanilines,6.1,,II,N,
UN1597,"Dinitrobenzenes, liquid",6.1,,II,N,
UN1597,"Dinitrobenzenes, liquid",6.1,,III,N,
UN3443,"Dinitrobenzenes, solid",6.1,,II,N,
UN1067,Dinitrogen tetroxide,2.3,"5.1,8",,N,
UN0489,Dinitroglycoluril or Dingu,1.1D,,,N,
UN0076,"Dinitrophenol, dry or wetted with less than 15 percent water, by mass",1.1D,6.1,,N,
UN1599,Dinitrophenol solutions,6.1,,II,N,
UN1599,Dinitrophenol solutions,6.1,,III,N,
UN1320,"Dinitrophenol, wetted with not less than 15 percent water, by mass",4.1,6.1,I,N,
UN0077,"Dinitrophenolates alkali metals, dry or wetted with less than 15 percent water, by mass",1.3C,6.1,,N,
UN1321,"Dinitrophenolates, wetted with not less than 15 percent water, by mass",4.1,6.1,I,N,
UN0078,"Dinitroresorcinol, dry or wetted with less than 15 percent water, by mass",1.1D,,,N,
UN1322,"Dinitroresorcinol, wetted with not less than 15 percent water, by mass",4.1,,I,N,
UN0406,Dinitrosobenzene,1.3C,,,N,
UN2038,"Dinitrotoluenes, liquid",6.1,,II,N,
UN1600,"Dinitrotoluenes, molten",6.1,,II,N,
UN3454,"Dinitrotoluenes, solid",6.1,,II,N,
UN1165,Dioxane,3,,II,N,
UN1166,Dioxolane,3,,II,N,
UN2052,Dipentene,3,,III,N,
UN1698,Diphenylamine chloroarsine,6.1,,I,N,
UN1699,"Diphenylchloroarsine, liquid",6.1,,I,N,
UN3450,"Diphenylchloroarsine, solid",6.1,,I,N,
UN1769,Diphenyldichlorosilane,8,,II,N,
UN1770,Diphenylmethyl bromide,8,,II,N,
UN0401,"Dipicryl sulfide, dry or wetted with less than 10 percent water, by mass",1.1D,,,N,
UN2852,"Dipicryl sulfide, wetted with not less than 10 percent water, by mass",4.1,,I,N,
UN2384,Di-n-propyl ether,3,,II,N,
UN2710,Dipropyl ketone,3,,III,N,
UN2383,Dipropylamine,3,8,II,N,
UN1903,"Disinfectant, liquid, corrosive, n.o.s",8,,I,Y,G
UN1903,"Disinfectants, liquid, corrosive n.o.s.",8,,II,Y,G
UN1903,"Disinfectants, liquid, corrosive n.o.s.",8,,III,Y,G
UN3142,"Disinfectants, liquid, toxic, n.o.s.",6.1,,I,Y,G
UN3142,"Disinfectants, liquid, toxic, n.o.s.",6.1,,II,Y,G
UN3142,"Disinfectants, liquid, toxic, n.o.s.",6.1,,III,Y,G
UN1601,"Disinfectants, solid, toxic, n.o.s.",6.1,,I,Y,G
UN1601,"Disinfectants, solid, toxic, n.o.s.",6.1,,II,Y,G
UN1601,"Disinfectants, solid, toxic, n.o.s.",6.1,,III,Y,G
UN3253,Disodium trioxosilicate,8,,III,N,
UN1167,"Divinyl ether, stabilized",3,,I,N,
UN1771,Dodecyltrichlorosilane,8,,II,N,
UN2801,"Dyes, liquid, corrosive, n.o.s. or Dye intermediates, liquid, corrosive, n.o.s",8,,I,Y,G
UN2801,"Dyes, liquid, corrosive, n.o.s. or Dye intermediates, liquid, corrosive, n.o.s",8,,II,Y,G
UN2801,"Dyes, liquid, corrosive, n.o.s. or Dye intermediates, liquid, corrosive, n.o.s",8,,III,Y,G
UN1602,"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s.",6.1,,I,Y,G
UN1602,"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s.",6.1,,II,Y,G
UN1602,"Dyes, liquid, toxic, n.o.s. or Dye intermediates, liquid, toxic, n.o.s.",6.1,,III,Y,G
UN3147,"Dyes, solid, corrosive, n.o.s. or Dye intermediates, solid, corrosive, n.o.s.",8,,I,Y,G
UN3147,"Dyes, solid, corrosive, n.o.s. or Dye intermediates, solid, corrosive, n.o.s.",8,,II,Y,G
UN3147,"Dyes, solid, corrosive, n.o.s. or Dye intermediates, solid, corrosive, n.o.s.",8,,III,Y,G
UN3143,"Dyes, solid, toxic, n.o.s. or Dye intermediates, solid, toxic, n.o.s.",6.1,,I,Y,G
UN3143,"Dyes, solid, toxic, n.o.s. or Dye intermediates, solid, toxic, n.o.s.",6.1,,II,Y,G
UN3143,"Dyes, solid, toxic, n.o.s. or Dye intermediates, solid, toxic, n.o.s.",6.1,,III,Y,G
UN3256,"Elevated temperature liquid, flammable, n.o.s., with flash point above 37.8 C, at or above its flash point",3,,III,Y,G
UN3257,"Elevated temperature liquid, n.o.s., at or above 100 C and below its flash point (including molten metals, molten salts, etc.)",9,,III,Y,G
UN3258,"Elevated temperature solid, n.o.s., at or above 240 C, see § 173.247(h)(4)",9,,III,Y,G
UN3529,"Engine, internal combustion, flammable gas powered or Engine, fuel cell, flammable gas powered or Machinery, internal combustion, flammable gas powered or Machinery, fuel cell, flammable gas powered",2.1,,,N,
UN3528,"Engine, internal combustion, flammable liquid powered or Engine, fuel cell, flammable liquid powered or Machinery, internal combustion, flammable liquid powered or Machinery, fuel cell, flammable liquid powered",3,,,N,
UN3530,"Engine, internal combustion or Machinery, internal combustion",9,,,N,
UN3082,"Environmentally hazardous substance, liquid, n.o.s.",9,,III,Y,G
UN3077,"Environmentally hazardous substance, solid, n.o.s.",9,,III,Y,G
UN2558,Epibromohydrin,6.1,3,I,N,
UN2023,Epichlorohydrin,6.1,3,II,N,+
UN2752,"1,2-Epoxy-3-ethoxypropane",3,,III,N,
UN3272,"Esters, n.o.s.",3,,II,Y,
UN3272,"Esters, n.o.s.",3,,III,Y,
UN1035,Ethane,2.1,,,N,
NA1961,"Ethane-Propane mixture, refrigerated liquid",2.1,,,N,D
UN1961,"Ethane, refrigerated liquid",2.1,,,N,
UN3475,"Ethanol and gasoline mixture or Ethanol and motor spirit mixture or Ethanol and petrol mixture, with more than 10% ethanol",3,,II,N,
UN1170,Ethanol or Ethyl alcohol or Ethanol solutions or Ethyl alcohol solutions,3,,II,N,
UN1170,Ethanol or Ethyl alcohol or Ethanol solutions or Ethyl alcohol solutions,3,,III,N,
UN2491,Ethanolamine or Ethanolamine solutions,8,,III,N,
UN3271,"Ethers, n.o.s.",3,,II,Y,
UN3271,"Ethers, n.o.s.",3,,III,Y,
UN1173,Ethyl acetate,3,,II,N,
UN1917,"Ethyl acrylate, stabilized",3,,II,N,
UN2271,Ethyl amyl ketone,3,,III,N,
UN3460,"N-Ethylbenzyltoluidines, solid",6.1,,III,N,
